Valgår;Socialdemokratiet;Radikale Venstre;Det Konservative Folkeparti;Centrum-Demokraterne;Nye Borgerlige;Retsforbundet;Klaus Riskær Pedersen;Socialistisk Folkeparti;De Grønne;Humanistisk Parti;Liberal Alliance / Ny Alliance;Socialistisk Arbejderparti;Kristeligt Folkeparti / Kristendemokraterne;Danmarks Kommunistiske Parti;Marxistisk-Leninistisk Parti;Moderaterne;Minoritetspartiet;Fælles Kurs;Dansk Folkeparti;Fælleslisten / mindre parti;Parti P / mindre parti;Frie Grønne;Kommunistisk Arbejderparti;Unionslisten / mindre parti;Venstre;Venstresocialisterne;Fremskridtspartiet;Danmarksdemokraterne;Enhedslisten;Alternativet
1973;25.65;11.24;9.15;7.76;NA;2.88;NA;6.01;NA;NA;NA;NA;4.05;3.63;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12.26;1.47;15.89;NA;NA;NA
1975;29.98;7.11;5.52;2.18;NA;1.64;NA;4.96;NA;NA;NA;NA;5.34;4.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23.36;2.09;13.6;NA;NA;NA
1977;37.03;3.65;8.48;6.45;NA;3.29;NA;3.87;NA;NA;NA;NA;3.42;3.67;NA;NA;NA;NA;NA;NA;0.87;NA;NA;NA;11.97;2.69;14.61;NA;NA;NA
1979;38.27;5.44;12.48;3.22;NA;2.62;NA;5.91;NA;NA;NA;NA;2.59;1.86;NA;NA;NA;NA;NA;NA;NA;NA;0.41;NA;12.5;3.66;11.01;NA;NA;NA
1981;32.87;5.12;14.45;8.28;NA;1.45;NA;11.31;NA;NA;NA;0.07;2.31;1.11;NA;NA;NA;NA;NA;NA;NA;NA;0.14;NA;11.31;2.65;8.91;NA;NA;NA
1984;31.61;5.49;23.45;4.6;NA;1.5;NA;11.52;NA;NA;NA;0.06;2.73;0.69;0.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;12.07;2.66;3.58;NA;NA;NA
1987;29.32;6.22;20.84;4.79;NA;0.49;NA;14.58;1.34;0.17;NA;0.05;2.37;0.86;0.03;NA;NA;NA;NA;2.16;NA;NA;NA;NA;10.54;1.37;4.77;NA;NA;NA
1988;29.82;5.58;19.29;4.67;NA;NA;NA;13.01;1.35;NA;NA;NA;2.04;0.82;NA;NA;NA;NA;NA;1.9;NA;NA;NA;NA;11.84;0.61;8.96;NA;NA;NA
1990;37.38;3.55;15.97;5.11;NA;0.53;NA;8.3;0.85;0.02;NA;NA;2.29;NA;NA;NA;NA;NA;NA;1.79;NA;NA;NA;NA;15.79;NA;6.44;NA;1.67;NA
1994;34.56;4.59;15.02;2.84;NA;NA;NA;7.28;NA;NA;NA;NA;1.85;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23.3;NA;6.43;NA;3.15;NA
1998;35.93;3.85;8.92;4.31;NA;NA;NA;7.56;NA;NA;NA;NA;2.51;NA;NA;NA;NA;7.41;NA;NA;NA;NA;NA;0.32;24.01;NA;2.42;NA;2.7;NA
2001;29.08;5.19;9.07;1.77;NA;NA;NA;6.37;NA;NA;NA;NA;2.28;NA;NA;NA;NA;12.0;NA;NA;NA;NA;NA;NA;31.25;NA;0.56;NA;2.4;NA
2005;25.84;9.18;10.27;1.01;NA;NA;NA;5.99;NA;NA;NA;NA;1.73;NA;NA;NA;0.26;13.25;NA;NA;NA;NA;NA;NA;29.03;NA;NA;NA;3.4;NA
2007;25.47;5.12;10.39;NA;NA;NA;NA;13.04;NA;NA;2.81;NA;0.87;NA;NA;NA;NA;13.86;NA;NA;NA;NA;NA;NA;26.26;NA;NA;NA;2.17;NA
2011;24.81;9.5;4.94;NA;NA;NA;NA;9.2;NA;NA;4.98;NA;0.79;NA;NA;NA;NA;12.32;NA;NA;NA;NA;NA;NA;26.73;NA;NA;NA;6.68;NA
2015;26.28;4.58;3.35;NA;NA;NA;NA;4.19;NA;NA;7.53;NA;0.83;NA;NA;NA;NA;21.08;NA;NA;NA;NA;NA;NA;19.47;NA;NA;NA;7.8;4.8
2019;25.9;8.63;6.62;NA;2.36;NA;0.84;7.71;NA;NA;2.33;NA;1.73;NA;NA;NA;NA;8.74;1.79;NA;NA;NA;NA;NA;23.39;NA;NA;NA;6.94;2.95
2022;27.5;3.79;5.51;NA;3.67;NA;NA;8.3;NA;NA;7.89;NA;0.52;NA;NA;9.27;NA;2.64;NA;NA;NA;0.9;NA;NA;13.32;NA;NA;8.12;5.13;3.33
