Navn;Fødselsår;Fødselsår_usikkerhed;Dødsår;Dødsårs_usikkerhed;Regeringsstart;Regeringsstart_usikkerhed;Regeringsslut;regeringsslut_usikkerhed
Gorm_den_Gamle;908-918;ja;958;ja;936;nej;958;ja
Harald_1._Blåtand;987;ja;NA;ja;NA;ja;987;nej
Svend_1._Tveskæg;1014;ja;NA;ja;NA;ja;1014;nej
Harald_2.;NA;ja;1018;ja;1014;nej;1018;nej
Knud_1._den_Store;995;ja;1035;nej;1018;nej;1035;nej
Hardeknud;1020;nej;1042;nej;1035;nej;1042;nej
Magnus_den_Gode;1024;nej;1047;nej;1042;nej;1047;nej
Svend_2._Estridsen;1076;nej;NA;ja;1047;nej;1074;nej
Harald_3._Hen;NA;ja;1080;nej;1074;nej;1080;nej
Knud_2._den_Hellige;NA;ja;1086;nej;1080;nej;1086;nej
Oluf_1._Hunger;NA;ja;1095;nej;1086;nej;1095;nej
Erik_1._Ejegod;1056;ja;1103;nej;1095;nej;1103;nej
Niels;NA;ja;1134;nej;1104;nej;1134;nej
Erik_2._Emune;1137;nej;NA;ja;1134;nej;1137;nej
Erik_3._Lam;NA;ja;1146;nej;1137;nej;1146;nej
Svend_3.,_Knud_3.,_Valdemar_1._den_Store;NA;ja;NA;ja;1146;nej;1157;nej
Valdemar_1._den_Store;1131;nej;1182;nej;1157;nej;1182;nej
Knud_4.;1163;nej;1202;nej;1182;nej;1202;nej
Valdemar_2._Sejr;1170;nej;1241;nej;1202;nej;1241;nej
Erik_4._Plovpenning;1216;nej;1250;nej;1241;nej;1250;nej
Abel;1218;ja;1252;nej;1250;nej;1252;nej
Christoffer_1.;1219;ja;1259;nej;1252;nej;1259;nej
Erik_5._Klipping;1249;nej;1286;nej;1259;nej;1286;nej
Erik_6._Menved;1274;nej;1319;nej;1286;nej;1319;nej
Valdemar_3.;1315;ja;1364;nej;1326;nej;1329;nej
Christoffer_2.;1276;nej;1332;nej;1329;nej;1332;nej
Valdemar_4._Atterdag;1320;ja;1375;nej;1340;nej;1375;nej
Oluf_2.;1370;nej;1387;nej;1375;nej;1387;nej
Margrete_1.;1353;nej;1412;nej;1387;nej;1396;nej
Erik_7._af_Pommern;1382;ja;1459;nej;1396;nej;1439;nej
Christoffer_3._af_Bayern;1416;nej;1448;nej;1440;nej;1448;nej
Christian_1.;1426;nej;1481;nej;1448;nej;1481;nej
Hans;1455;nej;1513;nej;1482;nej;1513;nej
Christian_2.;1481;nej;1559;nej;1513;nej;1523;nej
Frederik_1.;1471;nej;1533;nej;1523;nej;1533;nej
Christian_3.;1503;nej;1559;nej;1536;nej;1559;nej
Frederik_4.;1671;nej;1730;nej;1699;nej;1730;nej
Christian_6.;1699;nej;1746;nej;1730;nej;1746;nej
Frederik_5.;1723;nej;1766;nej;1746;nej;1766;nej
Christian_7.;1749;nej;1808;nej;1766;nej;1808;nej
Frederik_6.;1768;nej;1839;nej;1808;nej;1839;nej
Christian_8.;1786;nej;1848;nej;1839;nej;1848;nej
Frederik_7.;1808;nej;1863;nej;1848;nej;1863;nej
Christian_9.;1818;nej;1906;nej;1863;nej;1906;nej
Frederik_8.;1843;nej;1912;nej;1906;nej;1912;nej
Christian_10.;1870;nej;1947;nej;1912;nej;1947;nej
Frederik_9.;1899;nej;1972;nej;1947;nej;1972;nej
Margrethe_2.;1940;nej;NA;ja;1972;nej;2024;nej
Frederik_10.;1968;nej;NA;ja;2024;nej;NA;ja
